wiki data link,Name
http://www.wikidata.org/entity/Q809101,Barry Smith
http://www.wikidata.org/entity/Q1119079,Niccolò Antonelli
http://www.wikidata.org/entity/Q724747,Bruno Ruffo
http://www.wikidata.org/entity/Q941466,Emilio Alzamora
http://www.wikidata.org/entity/Q599654,Roberto Rolfo
http://www.wikidata.org/entity/Q369871,Scott Redding
http://www.wikidata.org/entity/Q3484612,Simone Sanna
http://www.wikidata.org/entity/Q1999768,Michel Rougerie
http://www.wikidata.org/entity/Q3960889,Silvio Grassetti
http://www.wikidata.org/entity/Q1555330,Reinhold Roth
http://www.wikidata.org/entity/Q7781499,Theo Timmer
http://www.wikidata.org/entity/Q676293,Dominique Aegerter
http://www.wikidata.org/entity/Q3751907,Frank Perris
http://www.wikidata.org/entity/Q378815,Sergio Gadea
http://www.wikidata.org/entity/Q461867,Gianni Leoni
http://www.wikidata.org/entity/Q1067033,Charlie Williams
http://www.wikidata.org/entity/Q2005114,Alessandro Gramigni
http://www.wikidata.org/entity/Q1028028,Graziano Rossi
http://www.wikidata.org/entity/Q76213,Martin Wimmer
http://www.wikidata.org/entity/Q319553,Nicky Hayden
http://www.wikidata.org/entity/Q100783844,Mike Duff
http://www.wikidata.org/entity/Q848888,Bradley Smith
http://www.wikidata.org/entity/Q3992915,Tommy Robb
http://www.wikidata.org/entity/Q2549712,Daryl Beattie
http://www.wikidata.org/entity/Q100788421,Jack Findlay
http://www.wikidata.org/entity/Q6277500,Jordi Torres
http://www.wikidata.org/entity/Q3074887,Mike Grant
http://www.wikidata.org/entity/Q3724463,Emilio Mendogni
http://www.wikidata.org/entity/Q676344,Jacques Cornu
http://www.wikidata.org/entity/Q268101,Pat Hennen
http://www.wikidata.org/entity/Q2735151,Juan Garriga
http://www.wikidata.org/entity/Q7146492,Patrick Fernandez
http://www.wikidata.org/entity/Q4932452,Bob Foster
http://www.wikidata.org/entity/Q375995,Alberto Pagani
http://www.wikidata.org/entity/Q22277735,Fabio Di Giannantonio
http://www.wikidata.org/entity/Q44335,Keith Campbell
http://www.wikidata.org/entity/Q61852709,Alfredo Milani
http://www.wikidata.org/entity/Q4948420,Jorge Navarro
http://www.wikidata.org/entity/Q439679,Alan Shepherd
http://www.wikidata.org/entity/Q95720829,Maurizio Vitali
http://www.wikidata.org/entity/Q15996526,Arthur Wheeler
http://www.wikidata.org/entity/Q102155773,William Doran
http://www.wikidata.org/entity/Q1770397,Dickie Dale
http://www.wikidata.org/entity/Q1631869,Danilo Petrucci
http://www.wikidata.org/entity/Q1767382,Salvador Cañellas
http://www.wikidata.org/entity/Q959546,Ivan Palazzese
http://www.wikidata.org/entity/Q3105239,Gianluigi Scalvini
http://www.wikidata.org/entity/Q3784718,Helmut Kassner
http://www.wikidata.org/entity/Q461580,Carlos Checa
http://www.wikidata.org/entity/Q30507231,Jack Middelburg
http://www.wikidata.org/entity/Q684842,Pierre Monneret
http://www.wikidata.org/entity/Q19514991,Anthony West
http://www.wikidata.org/entity/Q3992930,Tommy Wood
http://www.wikidata.org/entity/Q3134476,Jan Huberts
http://www.wikidata.org/entity/Q3992483,Tom Herron
http://www.wikidata.org/entity/Q5767374,Stuart Graham
http://www.wikidata.org/entity/Q20914980,Niki Tuuli
http://www.wikidata.org/entity/Q16728970,Virginio Ferrari
http://www.wikidata.org/entity/Q3763039,Gianfranco Bonera
http://www.wikidata.org/entity/Q7823329,Tony Rutter
http://www.wikidata.org/entity/Q621494,Alex Debon
http://www.wikidata.org/entity/Q1383479,Manuel Herreros
http://www.wikidata.org/entity/Q3939844,Rod Coleman
http://www.wikidata.org/entity/Q3712926,Domenico Brigaglia
http://www.wikidata.org/entity/Q257241,Karel Abraham
http://www.wikidata.org/entity/Q3783429,Harold Daniell
http://www.wikidata.org/entity/Q461525,Guido Leoni
http://www.wikidata.org/entity/Q929719,Peter Williams
http://www.wikidata.org/entity/Q3786827,Horst Fügner
http://www.wikidata.org/entity/Q1715146,Alan North
http://www.wikidata.org/entity/Q922728,Jules Cluzel
http://www.wikidata.org/entity/Q3893878,Paolo Casoli
http://www.wikidata.org/entity/Q3809507,John Newbold
http://www.wikidata.org/entity/Q2738919,Simon Crafar
http://www.wikidata.org/entity/Q1748348,Wilco Zeelenberg
http://www.wikidata.org/entity/Q89985640,Alessandro Zaccone
http://www.wikidata.org/entity/Q1681660,Jan Bruins
http://www.wikidata.org/entity/Q3932509,Remo Venturi
http://www.wikidata.org/entity/Q1125913,Kevin Magee
http://www.wikidata.org/entity/Q84398,Ulrich Graf
http://www.wikidata.org/entity/Q468424,Ben Spies
http://www.wikidata.org/entity/Q86894,Bert Schneider
http://www.wikidata.org/entity/Q3805547,Jack Brett
http://www.wikidata.org/entity/Q3810075,Jorge Kissling
http://www.wikidata.org/entity/Q1119391,Andrea Ballerini
http://www.wikidata.org/entity/Q166526,Artie Bell
http://www.wikidata.org/entity/Q2926689,Bruno Casanova
http://www.wikidata.org/entity/Q568783,Louis Rossi
http://www.wikidata.org/entity/Q763164,Michel Frutschi
http://www.wikidata.org/entity/Q111337339,Pentti Korhonen
http://www.wikidata.org/entity/Q1368784,Mario Lega
http://www.wikidata.org/entity/Q2830474,Alan Carter
http://www.wikidata.org/entity/Q463353,Troy Bayliss
http://www.wikidata.org/entity/Q3645932,Bruno Spaggiari
http://www.wikidata.org/entity/Q902682,Pablo Nieto
http://www.wikidata.org/entity/Q5576514,Godfrey Nash
http://www.wikidata.org/entity/Q3779452,Guido Sala
http://www.wikidata.org/entity/Q3158314,Jacques Bolle
http://www.wikidata.org/entity/Q75328950,Xavier Artigas
http://www.wikidata.org/entity/Q3819930,Benjamin Grau
http://www.wikidata.org/entity/Q3638130,Benedicto Caldarella
http://www.wikidata.org/entity/Q443800,Chris Vermeulen
http://www.wikidata.org/entity/Q92538,Stefan Prein
http://www.wikidata.org/entity/Q106644949,Miquel Pons
http://www.wikidata.org/entity/Q663812,Michele Pirro
http://www.wikidata.org/entity/Q594789,Fausto Ricci
http://www.wikidata.org/entity/Q92538,Stefan Prein
http://www.wikidata.org/entity/Q962451,Alberto Puig
http://www.wikidata.org/entity/Q113226993,Fritz Reitmaier
http://www.wikidata.org/entity/Q7360230,Roland Freymond
http://www.wikidata.org/entity/Q3350917,Olivier Chevallier
http://www.wikidata.org/entity/Q16121330,Tony Jefferies
http://www.wikidata.org/entity/Q1118989,Duilio Agostini
http://www.wikidata.org/entity/Q2000177,Kim Newcombe
http://www.wikidata.org/entity/Q12812575,Livio Loi
http://www.wikidata.org/entity/Q370293,John Williams
http://www.wikidata.org/entity/Q5258546,Dennis Ireland
http://www.wikidata.org/entity/Q3940890,Romolo Ferri
http://www.wikidata.org/entity/Q113196703,Phil Carpenter
http://www.wikidata.org/entity/Q3805539,Jack Ahearn
